Name	Country	Sector	Industry	Desc	Departments	City	Year	Size	Url	Odsets	TW	financials
Eventos	Russian Federation	For-profit	Data/information technology	Eventos is a Big Data - Semantic Technologies company.		Moscow	2010	1-10	http://my-eventos.com	Other - Russian Federation - National
Favorit Systems	Russian Federation	For-profit	Data/information technology	Favorit Systems specializes in the development of automated information systems - application software - advisory services and training in information technology.		Moscow	2001	1-10	http://www.fvs.ru/	Health/healthcare - Russian Federation - National
Gaikagroup	Russian Federation	For-profit	Healthcare	Galkagroup is the organization that has created Mamnadzor - an app for mothers.		Moscow	2013	1-10	http://mamnadzor.ru/
GoodRoads	Russian Federation	For-profit	Geospatial/mapping	GoodRoads is a geoinformation system that measures road quality using the accelerometers built in mobile devices so that users can see current quality of roads.		St Petersburg	2011	1-10	http://goodroads.ru	Geospatial/mapping - Russian Federation - Local
Gradoteka	Russian Federation	For-profit	Data/information technology	Gradoteka aggregates statistics on Russian cities by collecting - systematizing - and visualizing data - turning them into rankings - infographics and visual data.				1-10	http://gradoteka.ru	Arts and culture - Russian Federation - Local
Gravity Group	Russian Federation	For-profit	Data/information technology	Gravity Group develops applications.		Perm		1-10	http://gravity-group.ru/	Health/healthcare - Russian Federation - Local
Hint Solutions	Russian Federation	For-profit	Data/information technology	Hint Solutions is an IT outsourcing company working in Russia and abroad.		Tula	2006	51-200	http://www.hintsolutions.ru/	Health/healthcare - Russian Federation - National
Interfax	Russian Federation	For-profit	Media and communications	Interfax Group is a provider of critical information on Russia - China and emerging markets of Eurasia - serving the diverse needs of investors - corporations - financial professionals and the media.		Moscow	1989	1000+	http://www.interfax.com/
Krista	Russian Federation	For-profit	Data/information technology	Krista is a developer of information-analytical systems.		Moscow	1992	1-10	http://www.krista.ru/	Finance - Russian Federation - National
NextGIS	Russian Federation	For-profit	Geospatial/mapping	NextGIS offers its clients integrated open-source spatial software - backed by customized GIS solutions - professional ongoing support and comprehensive training.		Moscow	2011	1-10	http://nextgis.ru/en/	Environment - Russian Federation - Local
OAO Roseltorg	Russian Federation	For-profit	Business and legal services	Roseltorg is an operator of electronic trading for government customers and commercial enterprises.		Moscow	2009	1-10	https://www.roseltorg.ru	Government operations - Russian Federation - Local
RIA Novosti	Russian Federation	For-profit	Media and communications	RIA Novosti is a leading Russian multimedia group.		Moscow	1941	1000+	http://ria.ru/	Business - Russian Federation - National
Rambler	Russian Federation	For-profit	Data/information technology	Rambler is a Russian search engine.		Moscow	1996	1-10	http://www.rambler.ru/	Housing - Russian Federation - National
RosBusinessConsulting (RBC)	Russian Federation	For-profit	Media and communications	RBC operates comprehensive business and entertainment Internet portals - a 24/7 RBC TV business channel - and a number of business print publications.		Moscow	1993	1000+	http://www.rbcholding.com/	Economics - Russian Federation - National
Rostnadzor	Russian Federation	For-profit	Business and legal services	Rostnadzor provides expertise on problem assets and debt recovery from companies.		Moscow		1-10	http://www.rostnadzor.ru/	Business - Russian Federation - national
SPARK Marketing	Russian Federation	For-profit	Business and legal services	SPARK is a modern business solution for a comprehensive analysis of information on companies and effective risk management.		Moscow	2004	1000+	http://www.spark-interfax.ru/	Business - Russian Federation - National
SPb GUP IAC	Russian Federation	For-profit	Data/information technology	SPb IAC is a public enterprise specialising on developing of IT projects for Saint-Petersburg Administration.		St Petersburg	1980	201-1000	http://iac.spb.ru/	Other - Russian Federation - Local
Sputnik	Russian Federation	For-profit	Governance	Sputnik makes access to official information and public services and services on the web easier.		Ulyanovsk	2012	201-1000	http://apps.sputnik.ru/	Health/healthcare - Russian Federation - Local
StickerRide	Russian Federation	For-profit	Business and legal services	StickerRide is an application that allows you to earn money by placing ads on your car.		Moscow		1-10	http://www.stickerride.com	Geospatial/mapping - Russian Federation - National
Urbanica	Russian Federation	For-profit	Geospatial/mapping	Urbanica specializes in long-term social and economic development - as well as urban and transport planning for public administration and private sectors.		St Petersburg	2009	11-50	http://urbanica.spb.ru	Geospatial/mapping - Russian Federation - Local
VeeRoute	Russian Federation	For-profit	Transportation and logistics	VeeRoute is platform optimization for delivery of courier services - online stores - distributors and service companies.		St Petersburg	2014	1-10	http://veeroute.com/	Transportation - Russian Federation - National
WelcomeMedia	Russian Federation	For-profit	Media and communications	WelcomeMedia develops effective online resources and business tools.		St Petersburg		1-10	http://welcomemedia.ru/	Geospatial/mapping - Russian Federation - Local
WikiRoutes	Russian Federation	For-profit	Transportation and logistics	WikiRoutes aims to create a community of users of public transport.		St Petersburg	2009	1-10	http://wikiroutes.info/	Geospatial/mapping - Russian Federation - Local
Yandex	Russian Federation	For-profit	Data/information technology	Yandex is an Internet company which operates the largest search engine in Russia and develops a number of Internet-based services and products.		Moscow	2000	11-50	http://www.yandex.ru/	Business - Russian Federation - National
Zakupki360.ru	Russian Federation	For-profit	Business and legal services	Zakupki360.ru provides services and information regarding procurement processes in Russia.		Moscow		1-10	http://zakupki360.ru/	Business - Russian Federation - Null
inTaxi	Russian Federation	For-profit	Transportation and logistics	inTaxi is a reliable and handy taxi service app that allows you to order taxi with just a few taps.		Moscow		11-50	http://intaxi.ru/
Dato Capital	Spain	For-profit	Data/information technology	A worldwide corporate database of private and public companies and directors. The information includes data of several kinds such as financials - geospatial information - appointments - shareholders - phone numbers and debt checks.		Madrid	2003	1-10	https://en.datocapital.com/	Business - Panama - National
Eixos	Spain	For-profit	Business and legal services	Eixos.cat is an observatory of the economic activity of cities for the development of market research and business location.		Barcelona	2011	1-10	http://eixos.cat/	Weather - Spain - national
Informa D&B S.A.	Spain	For-profit	Data/information technology	Informa specialises in providing commercial - financial and marketing information about businesses and entrepreneurs.		Madrid	1992	201-1000	http://www.informa.es	Legal - Spain - National
Meteo for Energy	Spain	For-profit	Energy	Meteo for Energy create meteorological forecast and energy production optimization.		Vitoria-Gasteiz		1-10	http://www.meteoforenergy.com/	Weather - Spain - national
Stereocarto	Spain	For-profit	Geospatial/mapping	Stereocarto provides engineering - consulting and technical assistance in Cartographic Engineering - GIS - Planning - Environment - Hydrology - Energy and Infrastructure and civil works.		Madrid	1964	11-50	http://www.stereocarto.com/	Geospatial/mapping - Spain - national
Telefonica	Spain	For-profit	Telecommunications/internet service providers (ISPs)	Telefonica is a multinational telecommunications provider of broadband and mobile network communications.		Madrid	1983	1000+	http://blog.digital.telefonica.com/	Weather - Spain - National
Zabala Innovation Consulting	Spain	For-profit	Research and consulting	Zabala Innovation Consulting is an international innovation consulting firm that helps leading companies - research organisations - and public administrations make innovation the key factor of their competitiveness.		Mutilva Alta	1986	51-200	http://www.zabala.es/
Dopter	Sweden	For-profit	Research and consulting	Dopter provides consulting services around the APIs and open data.		Ödåkra		1-10	http://dopter.se/	Transportation - Sweden - national
J ++ Sweden	Sweden	For-profit	Media and communications	J ++ Sweden is a freelance firm specializing in data-driven journalism - helping journalists and communicators to understand - review and share data.		Stockholm		1-10	http://jplusplus.se/
Meta Solutions	Sweden	For-profit	Data/information technology	MetaSolutions is a company based in Sweden dedicated to innovative solutions for advanced information management with a focus on modern Web architecture and Linked Data.		Stockholm	2011	1-10	http://metasolutions.se/	Other - Sweden - National
Golliez Open Data Consulting	Switzerland	For-profit	Research and consulting	Golliez Open Data Consulting is a consulting firm founded by open data activist AndrÃ© Gollier.		Zurich		1-10	http://opendataconsulting.ch/	Other - Switzerland - National
Liip	Switzerland	For-profit	Data/information technology	Liip stands for agile web development with open source standards and open industry standards by developing and designing high-end web-based applications for a wide range of users and devices.		Fribourg	2007	51-200	https://www.liip.ch/de/open-data	Other - Switzerland - Local
Pixadoo	Switzerland	For-profit	Consumer services	Pixxadoo creates playful learning and games that engage in more serious topics		Zurich	1/10/2016	1000+	http://www.pixxadoo.com/
Suzuki Engineering	Switzerland	For-profit	Data/information technology	Suzuki Engineering develops complete solutions that include apps - web applications and middleware.		Zurich		1-10	http://www.suzuki-engineering.ch/	Other - Switzerland - National
Syngenta	Switzerland	For-profit	Agriculture	Syngenta helps to increase crop productivity - protect the environment and improve health and quality of life around the world.		Basel	2000	1000+	http://www.syngenta.com	Agriculture - null - Null
itopia	Switzerland	For-profit	Research and consulting	itopia is a small consulting firm that deals with IT complex projects in settings such as banks and public administrations.		Zurich		11-50	http://www.itopia.ch	Other - Switzerland - National
The Guardian Media Group	United Kingdom		Information & communication	Publishes the raw data behind the news for users to explore, visualise and debate and API development published via Data Store and Data Blog [also partner in the ODINE project -- TH]		Kings Place, 90 York Way, London, N1 9GU	8/9/1907		http://www.gmgplc.co.uk/	Publishes the raw data behind the news for users to explore, visualise and debate and API development published via Data Store and Data Blog [also partner in the ODINE project -- TH]
Tesco	United Kingdom		Retail	Combines weather data from various sources, including open government data from the Met Office, with sales records across thousands of stores to create hour-by-hour demand models		Tesco House, Delamere Road, Cheshunt, Hertfordshire, EN8 9SL	11/27/1947		http://www.tesco.com	Combines weather data from various sources, including open government data from the Met Office, with sales records across thousands of stores to create hour-by-hour demand models
Market Research Society	United Kingdom		Arts, entertainment, recreation and other services	ODI Supporter, promote and encourage use of open data		The Old Trading House, 15 Northburgh Street, London, EC1V 0JR	4/16/1953		https://www.mrs.org.uk/	ODI Supporter, promote and encourage use of open data
Roche	United Kingdom		Professional, scientific & technical	ODI Supporter		Charles Avenue, Burgess Hill, West Sussex, RH15 9RY	9/14/1956		http://www.roche.co.uk/	ODI Supporter
Which?	United Kingdom		Information & communication	Former ODI Member, promotes open data through research		2 Marylebone Road, London, NW1 4DF	12/13/1960		http://www.which.co.uk/	Former ODI Member, promotes open data through research
MSD	United Kingdom		Production	ODI Supporter		Hertford Road, Hoddesdon, Hertfordshire, EN11 9BU	9/25/1964		http://www.msd-uk.com/Pages/home.aspx	ODI Supporter
Capgemini	United Kingdom		Information & communication	Promotes and researches open data		Forge End, Woking, Surrey, GU21 6DB	12/10/1968		http://www.uk.capgemini.com/	Promotes and researches open data
Deeson	United Kingdom		Information & communication	ODI Supporter		27 Castle Street, Canterbury, Kent, CT1 2PX	9/25/1972		https://www.deeson.co.uk/	ODI Supporter
RM Education	United Kingdom		Information & communication	ODI Supporter, RM School Finder uses open schools data from Department for Education and Ofsted including School Performance Tables, GCSE Subject Results and Ofsted inspection outcomes and uses OS data		9 Chestnut Avenue, York, YO31 1BR	11/30/1973		http://www.rm.com/home	ODI Supporter, RM School Finder uses open schools data from Department for Education and Ofsted including School Performance Tables, GCSE Subject Results and Ofsted inspection outcomes and uses OS data
Liberata	United Kingdom		Professional, scientific & technical	Provides Listpoint, an reference data management platform which facilitates the use and publishing of open data		4th Floor, Weston House, 246 High Holborn, London, WC1V 7EX	12/22/1975		http://www.liberata.com/	Provides Listpoint, an reference data management platform which facilitates the use and publishing of open data
Atos	United Kingdom		Production	Redspottedhanky.com (sells train tickets) uses open railway data		4 Triton Square, Regent's Place, London, NW1 3HG	2/23/1976		http://uk.atos.net/en-uk/home.html	Redspottedhanky.com (sells train tickets) uses open railway data
Esri UK	United Kingdom		Information & communication	ODI Supporter, Use open geographical data, publish using freemium model to offer some free services		Millennium House, 65 Walton Street, Aylesbury, Buckinghamshire, HP21 7QG	11/29/1976		http://www.esriuk.com/	ODI Supporter, Use open geographical data, publish using freemium model to offer some free services
Arup	United Kingdom		Professional, scientific & technical	ODI Partner: brings together specialists from multiple urban disciplines to provide integrated open data services, with an emphasis on cities and the built environment		13 Fitzroy Street, London, W1T 4BQ	5/4/1977		http://www.arup.com/	ODI Partner: brings together specialists from multiple urban disciplines to provide integrated open data services, with an emphasis on cities and the built environment
Costain	United Kingdom		Construction	ODI Supporter		Costain House, Vanwall Business Park, Maidenhead, Berkshire, SL6 4UB	10/12/1978		http://www.costain.com/	ODI Supporter
IBM	United Kingdom		Professional, scientific & technical	Provides the Many Eyes data visualisation tool which facilitates visualisation of open data		PO Box 41, North Harbour, Portsmouth, Hampshire, PO6 3AU	6/25/1980		http://www.ibm.com/uk/en/	Provides the Many Eyes data visualisation tool which facilitates visualisation of open data
Telefonica	United Kingdom		Information & communication	ODI Partner: Use open data including open weather data, promote open data and carry out research into benefits of opening anonymous mobile data		260 Bath Road, Slough, Berkshire, SL1 4DX	7/28/1983		http://blog.digital.telefonica.com/	ODI Partner: Use open data including open weather data, promote open data and carry out research into benefits of opening anonymous mobile data
Nike	United Kingdom		Wholesale	Developed the Materials Sustainability Index (MSI), a metric that allows the company to evaluate the impact of using different materials in its products. The MSI data is publicly released, available through an API under an Open Database License			2/18/1985		http://www.nike.com/gb/en_gb/	Developed the Materials Sustainability Index (MSI), a metric that allows the company to evaluate the impact of using different materials in its products. The MSI data is publicly released, available through an API under an Open Database License
Cambridge Environmental Research Consultants	United Kingdom		Professional, scientific & technical	airText uses London Atmospheric Emissions Inventory provided by the Greater London Authority, air pollution modelling available displayed on OpenStreetMap layers, worked on QCumber Smart City prototype for creating open city data platform		3 King's Parade, Cambridge, CB2 1SJ	6/28/1985		http://cerc.co.uk/	airText uses London Atmospheric Emissions Inventory provided by the Greater London Authority, air pollution modelling available displayed on OpenStreetMap layers, worked on QCumber Smart City prototype for creating open city data platform
Adobe Systems	United Kingdom		Business administration and support services	ODI Supporter, Blog about PDF compatibility with open data		Market House, 34-38 Market Street, Maidenhead, Berkshire, SL6 8AD	9/29/1986		http://www.adobe.com/uk/	ODI Supporter, Blog about PDF compatibility with open data
Capita	United Kingdom		Information & communication	ODI Supporter, sponsor open data events		71 Victoria Street, London, SW1H 0XA	12/8/1986		http://www.capita.co.uk/	ODI Supporter, sponsor open data events
